Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
12.96,92,59,18,355,62,Medium,76,11,Yes,Yes
12.88,140,42,29,311,35,Medium,70,11,No,Yes
9.36,178,55,5,377,113,Bad,30,11,Yes,Yes
12.31,114,53,24,98,56,Good,52,11,Yes,No
10.43,136,63,22,445,64,Bad,56,11,No,Yes
17.9,172,65,18,325,54,Good,65,17,Yes,Yes
6.69,173,62,7,438,174,Medium,34,11,No,Yes
6.74,157,48,23,164,147,Bad,78,10,Yes,Yes
9.23,109,69,17,130,99,Good,32,11,Yes,No
10.01,139,31,26,127,59,Medium,60,13,Yes,Yes
16.19,87,89,24,437,87,Good,72,12,Yes,Yes
6.52,89,38,4,131,28,Medium,30,12,Yes,No
6.46,170,24,13,426,140,Medium,66,15,Yes,Yes
12.59,141,115,25,296,181,Good,53,17,No,No
14.81,106,108,26,152,85,Medium,79,14,Yes,Yes
10.73,167,50,28,337,115,Medium,46,15,Yes,Yes
10.73,180,51,19,106,135,Medium,36,11,Yes,No
12.03,99,96,15,199,128,Good,28,15,Yes,Yes
9.87,96,87,19,11,114,Bad,43,11,No,No
13.6,82,114,14,441,50,Bad,60,10,Yes,Yes
10.14,113,81,18,390,97,Medium,71,13,Yes,Yes
8.17,160,28,25,375,118,Medium,66,17,No,Yes
13.49,177,72,0,128,41,Bad,42,16,Yes,Yes
13.91,82,94,27,181,80,Medium,72,12,Yes,No
17.37,169,108,4,484,59,Good,52,16,Yes,Yes
14.96,153,85,6,25,71,Medium,79,16,Yes,Yes
10.16,103,38,20,334,72,Medium,72,12,Yes,Yes
11.56,160,61,12,212,143,Good,34,16,Yes,Yes
4.21,89,42,3,95,141,Good,44,14,Yes,No
21.68,179,115,18,177,91,Good,32,11,No,Yes
4.31,84,47,13,116,147,Medium,32,10,Yes,Yes
9.19,129,36,19,501,86,Medium,62,14,No,No
9.3,157,38,17,104,61,Bad,68,14,Yes,No
8.53,106,31,1,480,29,Medium,69,17,No,No
6.15,77,38,18,266,121,Good,71,14,Yes,No
8.21,164,24,12,91,79,Good,71,17,No,No
17.14,156,94,15,196,62,Medium,59,10,No,Yes
10.67,151,50,27,22,73,Bad,58,10,Yes,No
16.68,80,88,7,229,32,Good,35,17,Yes,Yes
7.79,138,92,2,309,146,Medium,30,11,Yes,Yes
15.76,144,101,7,448,90,Good,53,10,Yes,No
14.17,93,119,13,391,86,Good,71,14,Yes,No
10.08,150,25,16,441,40,Medium,57,16,Yes,No
12.91,161,82,1,288,35,Bad,44,16,Yes,Yes
14.07,178,111,24,297,183,Medium,64,11,Yes,Yes
5.58,133,27,16,382,162,Medium,55,17,Yes,Yes
14.89,139,53,13,44,44,Medium,56,14,Yes,Yes
12.24,133,102,27,492,124,Medium,72,16,No,Yes
12.87,125,58,5,308,38,Good,72,14,No,Yes
7.58,94,48,18,334,144,Good,26,12,Yes,Yes
13.52,134,72,24,388,76,Medium,57,17,Yes,Yes
9.29,86,99,16,328,181,Medium,65,17,No,Yes
9.22,139,80,12,302,157,Medium,74,16,Yes,Yes
17.18,156,107,4,349,38,Good,70,16,Yes,No
9.85,179,116,16,182,138,Bad,71,16,No,No
10.79,155,29,19,219,75,Medium,79,10,Yes,No
13.24,110,77,14,250,56,Good,25,17,No,No
1.6,81,50,8,377,175,Bad,62,15,No,No
7.32,93,49,14,208,115,Bad,46,12,Yes,No
23.11,177,116,17,272,30,Medium,47,12,Yes,Yes
9.72,148,55,10,442,144,Good,52,15,Yes,Yes
14.24,139,79,27,403,89,Medium,30,14,Yes,No
11.95,100,102,14,38,99,Medium,70,16,Yes,Yes
12.71,168,113,6,87,111,Bad,60,15,Yes,Yes
6.66,84,37,13,194,64,Medium,70,10,Yes,Yes
12.83,99,93,4,403,60,Bad,60,14,Yes,Yes
14.06,175,80,22,479,164,Medium,65,17,Yes,Yes
2.2,107,28,15,332,187,Medium,28,13,No,Yes
9.8,157,33,29,19,86,Medium,53,14,Yes,Yes
8.8,104,53,14,120,86,Good,52,14,Yes,Yes
11.55,124,105,10,174,100,Bad,34,10,No,Yes
17.84,88,96,25,294,42,Medium,68,16,No,Yes
11.56,164,114,11,74,152,Medium,28,16,Yes,Yes
16.55,155,61,27,468,25,Good,68,14,No,Yes
5.46,180,21,22,390,114,Bad,36,15,Yes,Yes
14.46,107,105,14,151,136,Good,76,14,No,Yes
13.17,167,113,11,245,131,Bad,47,12,Yes,Yes
7.43,111,98,20,12,173,Medium,67,15,Yes,Yes
9.71,131,58,23,431,102,Medium,67,16,Yes,Yes
13.87,158,68,29,465,37,Bad,29,16,Yes,No
11.82,112,82,2,97,91,Medium,54,15,Yes,Yes
9.69,148,71,25,232,129,Medium,69,14,Yes,Yes
10.64,136,89,29,475,169,Good,27,10,No,No
16.41,114,97,24,13,29,Good,55,12,Yes,Yes
14.23,145,78,0,121,50,Medium,30,15,Yes,Yes
5.96,130,25,24,492,179,Good,72,11,Yes,Yes
10.3,90,57,14,346,37,Medium,37,16,Yes,Yes
15.09,178,101,6,253,69,Medium,42,15,No,Yes
11.15,96,103,18,92,80,Bad,40,16,Yes,Yes
12.48,184,58,22,316,82,Medium,66,11,No,Yes
15.66,85,115,14,455,41,Medium,49,14,No,No
10.94,173,56,27,500,119,Bad,46,12,Yes,Yes
7.34,158,69,25,476,159,Bad,65,13,Yes,Yes
7.87,146,21,13,38,50,Medium,28,15,Yes,Yes
13.52,177,70,12,301,41,Bad,71,11,Yes,No
11.41,78,78,5,319,67,Good,73,17,Yes,Yes
5.13,106,30,19,292,149,Medium,56,15,No,Yes
9.53,82,71,23,379,116,Bad,31,12,Yes,Yes
18.88,157,118,28,369,96,Bad,76,15,Yes,Yes
18.81,179,69,27,52,51,Good,58,11,No,Yes
8.91,117,33,24,312,30,Bad,72,15,Yes,Yes
8.38,99,91,19,207,159,Bad,36,17,Yes,Yes
8.09,107,57,8,38,143,Good,64,12,No,Yes
6.23,96,57,8,137,50,Bad,33,16,Yes,No
6.19,81,51,25,181,147,Medium,28,17,No,No
11.79,97,40,25,93,61,Good,68,17,Yes,No
10.31,183,59,15,72,117,Medium,79,14,Yes,Yes
14.5,151,65,29,340,44,Good,64,16,Yes,No
8.54,144,56,28,212,143,Medium,66,12,Yes,No
5.78,163,35,20,147,175,Bad,79,12,Yes,Yes
6.8,137,50,10,229,161,Medium,50,10,No,Yes
10.4,178,72,10,237,152,Medium,70,14,Yes,Yes
12.94,170,81,20,341,126,Good,31,15,Yes,Yes
6.6,118,102,17,362,171,Bad,32,17,No,Yes
11.5,117,88,0,176,74,Medium,65,13,Yes,No
10.98,137,50,7,41,62,Good,54,16,Yes,No
0.41,158,48,6,253,182,Medium,30,15,No,No
5.11,128,24,2,416,61,Medium,63,15,Yes,Yes
4.96,117,54,1,392,150,Medium,28,11,Yes,Yes
9.05,136,72,16,357,157,Medium,32,12,No,Yes
12.8,183,48,22,323,83,Medium,75,12,No,Yes
16.14,171,77,13,31,55,Good,68,14,Yes,No
7.31,106,42,26,235,113,Medium,48,17,Yes,Yes
9.83,174,60,17,327,169,Good,49,10,Yes,Yes
18.13,171,95,22,502,55,Medium,75,15,No,Yes
3.21,114,50,7,307,183,Bad,54,11,Yes,Yes
11.05,165,50,28,381,108,Medium,76,13,Yes,No
8.92,93,82,1,373,114,Medium,42,12,No,Yes
15.39,176,79,21,365,63,Medium,68,10,No,Yes
5.09,116,45,2,179,98,Medium,58,17,Yes,No
8.69,106,37,0,260,62,Medium,73,11,Yes,Yes
13.28,142,85,18,161,92,Medium,39,11,Yes,No
14.58,100,119,6,263,147,Medium,67,13,No,Yes
10.49,149,34,6,242,63,Medium,67,14,No,No
2.29,77,22,3,318,151,Bad,41,16,Yes,Yes
11.31,164,23,21,289,37,Bad,72,15,Yes,Yes
7.36,114,87,4,132,187,Medium,78,16,Yes,No
7.01,140,40,23,338,147,Bad,26,11,No,No
8.98,103,97,19,51,163,Bad,67,16,Yes,Yes
13.31,166,51,26,247,127,Good,78,11,Yes,Yes
9.41,166,60,18,326,99,Medium,25,15,Yes,Yes
12.83,83,106,6,313,78,Bad,76,13,Yes,No
13.59,165,98,25,153,188,Good,40,15,Yes,Yes
14.51,156,70,14,46,106,Good,41,12,No,Yes
6.8,178,47,15,459,186,Medium,33,14,No,Yes
5.14,118,33,17,104,104,Bad,66,17,Yes,Yes
13.77,94,85,27,495,52,Bad,45,16,No,Yes
3.95,157,22,21,308,161,Medium,79,13,Yes,Yes
6.64,120,57,1,264,125,Good,68,12,Yes,Yes
8.13,146,31,9,10,32,Bad,50,13,Yes,No
8.56,96,53,19,477,169,Good,25,16,No,No
2.94,99,49,17,400,177,Bad,74,15,Yes,Yes
11.64,88,79,11,231,118,Medium,64,17,Yes,Yes
6.01,88,87,0,77,147,Medium,27,15,Yes,Yes
13.54,110,113,23,297,125,Bad,31,13,Yes,No
6.65,84,86,3,295,147,Medium,28,17,No,Yes
17.23,103,98,25,26,83,Good,55,16,Yes,Yes
16.43,125,104,29,461,42,Bad,38,16,Yes,Yes
16.54,148,68,22,292,36,Medium,45,15,Yes,Yes
9.29,131,102,4,272,153,Medium,77,13,No,Yes
13.41,173,57,20,243,51,Bad,36,10,No,Yes
16.86,177,92,19,495,34,Bad,36,15,Yes,Yes
15.49,159,74,15,277,40,Bad,30,17,Yes,Yes
16.53,164,91,5,347,51,Medium,73,13,No,No
5.77,98,30,20,321,148,Good,41,17,Yes,Yes
10.28,79,36,29,391,30,Medium,38,15,Yes,Yes
8.52,85,39,4,309,24,Medium,33,12,No,No
10.62,87,50,9,333,31,Medium,52,17,No,Yes
7.59,82,74,16,30,177,Medium,31,12,Yes,Yes
9.97,115,81,16,485,91,Bad,69,11,Yes,Yes
11.75,115,63,25,129,83,Good,79,16,Yes,Yes
13.85,177,103,5,486,140,Good,67,15,Yes,Yes
1.7,142,23,0,280,188,Good,29,10,Yes,No
7.99,136,50,22,280,137,Medium,65,12,Yes,No
3.48,113,38,3,90,135,Bad,66,10,Yes,Yes
1.31,82,56,8,493,190,Bad,40,11,No,Yes
1.85,82,40,28,457,188,Good,25,10,Yes,No
8.47,115,37,9,383,92,Good,64,12,Yes,Yes
5.73,112,44,10,240,115,Bad,62,14,Yes,Yes
8.81,165,33,6,53,37,Medium,31,16,Yes,Yes
10.17,126,77,28,165,165,Medium,76,10,No,Yes
12.96,156,87,12,368,96,Bad,54,16,Yes,No
7.54,161,41,11,225,158,Bad,72,15,Yes,Yes
1.95,86,24,2,414,118,Good,50,10,No,No
9.54,81,102,27,33,164,Medium,37,14,No,Yes
12.11,126,65,17,300,122,Good,25,13,No,Yes
5.02,101,59,7,298,155,Bad,77,14,Yes,Yes
13.0,171,63,7,331,40,Medium,75,13,No,Yes
14.42,79,95,6,288,29,Bad,74,16,No,Yes
13.19,160,58,23,287,64,Bad,53,17,No,No
5.62,80,61,26,451,181,Medium,32,14,Yes,No
13.0,154,48,5,78,46,Bad,26,10,Yes,Yes
1.27,88,25,9,311,125,Medium,69,13,No,Yes
11.21,90,72,24,498,47,Medium,73,16,No,Yes
3.96,177,43,12,433,146,Bad,75,16,Yes,Yes
6.52,158,58,8,290,188,Good,32,13,No,Yes
9.49,103,56,1,352,58,Medium,65,14,Yes,Yes
11.58,147,51,27,283,158,Medium,51,10,Yes,Yes
3.29,124,28,14,446,112,Medium,65,16,No,No
18.02,175,109,13,484,100,Medium,73,10,No,Yes
16.3,98,109,15,146,41,Medium,71,10,No,Yes
5.78,97,36,4,271,119,Medium,47,13,Yes,No
10.76,119,31,22,235,72,Medium,39,13,Yes,No
8.5,134,40,20,352,61,Medium,56,15,No,Yes
14.68,94,98,2,260,24,Good,46,17,No,Yes
4.84,178,77,7,92,137,Bad,77,15,No,No
5.53,166,39,13,276,132,Good,32,17,Yes,Yes
16.37,162,92,8,72,28,Bad,61,13,Yes,Yes
9.08,132,81,5,39,119,Medium,41,10,Yes,Yes
5.33,177,45,7,149,151,Medium,31,11,No,Yes
13.69,145,53,15,168,34,Good,67,11,Yes,Yes
11.35,175,60,15,337,53,Medium,45,16,No,Yes
1.65,88,37,9,68,121,Medium,63,13,Yes,Yes
12.73,175,73,25,488,129,Medium,29,13,Yes,No
19.67,174,111,22,52,37,Medium,41,10,Yes,No
19.98,96,101,25,479,43,Good,59,10,Yes,No
10.73,88,67,25,337,65,Medium,72,11,No,Yes
16.68,174,117,19,163,75,Medium,72,11,Yes,Yes
15.02,102,115,29,502,131,Bad,39,14,Yes,Yes
11.3,174,105,9,320,168,Medium,72,16,Yes,Yes
4.91,172,44,11,128,189,Medium,64,10,No,No
12.61,122,36,29,349,38,Medium,40,12,Yes,Yes
2.77,83,65,3,35,188,Bad,49,14,Yes,Yes
12.61,166,104,26,183,138,Bad,39,10,No,No
7.65,165,76,7,387,156,Medium,35,12,No,Yes
17.11,115,119,18,500,71,Medium,79,16,No,Yes
4.93,128,48,8,141,152,Medium,29,12,Yes,No
6.78,93,66,1,382,73,Bad,45,13,Yes,Yes
7.0,100,119,3,478,189,Bad,66,17,Yes,Yes
15.91,167,102,18,507,68,Bad,65,16,Yes,Yes
15.89,80,108,17,349,93,Medium,77,13,No,Yes
7.33,167,48,14,259,128,Medium,36,12,No,No
18.5,123,98,23,47,40,Medium,78,12,Yes,Yes
11.13,106,69,10,171,40,Medium,54,16,Yes,Yes
14.13,79,108,10,454,34,Good,28,15,No,No
16.41,82,115,24,374,29,Bad,77,14,Yes,Yes
4.56,148,26,11,227,175,Bad,69,12,No,Yes
14.29,92,118,27,17,91,Medium,51,13,No,No
12.79,155,119,13,454,190,Medium,52,13,Yes,Yes
9.11,112,49,14,175,42,Good,27,13,No,Yes
12.86,129,86,23,94,118,Medium,27,11,Yes,Yes
14.5,180,89,5,364,55,Medium,48,14,Yes,Yes
14.18,84,106,23,282,71,Bad,70,17,Yes,Yes
16.42,128,93,10,183,45,Good,53,14,Yes,Yes
10.72,179,54,7,498,79,Medium,78,14,Yes,Yes
11.94,128,69,17,177,98,Medium,43,15,Yes,No
11.62,106,110,5,43,132,Good,72,11,No,No
9.9,132,90,6,363,55,Bad,26,14,Yes,No
6.94,88,86,11,331,107,Bad,29,11,Yes,Yes
16.86,144,92,21,211,90,Good,61,11,Yes,Yes
5.96,154,22,24,97,171,Good,42,12,Yes,Yes
3.24,132,22,11,334,183,Good,49,17,Yes,Yes
12.79,165,92,24,290,138,Medium,50,11,No,Yes
14.79,145,46,17,16,43,Good,68,10,Yes,Yes
17.2,163,98,21,363,63,Medium,37,10,Yes,No
10.34,134,71,18,380,85,Medium,59,15,Yes,Yes
7.99,170,48,25,265,121,Bad,46,15,Yes,Yes
16.36,179,117,29,70,146,Medium,75,14,Yes,No
4.0,88,64,5,226,168,Medium,34,17,Yes,Yes
6.85,155,40,17,71,104,Bad,61,10,Yes,Yes
14.6,159,119,8,197,158,Good,68,15,No,Yes
9.86,166,66,17,131,69,Medium,66,15,Yes,Yes
7.55,80,101,10,468,182,Medium,31,12,Yes,Yes
9.37,114,64,7,295,100,Good,42,10,Yes,Yes
6.95,84,88,11,249,147,Bad,56,11,No,No
5.3,106,29,24,38,185,Good,75,17,Yes,Yes
15.29,155,104,21,162,114,Bad,72,15,Yes,Yes
5.83,88,67,14,397,170,Good,69,15,No,No
9.21,150,85,0,476,158,Bad,31,10,Yes,Yes
0.84,88,41,1,159,144,Medium,75,16,No,Yes
9.93,93,117,25,272,154,Bad,41,13,Yes,No
10.94,137,119,21,94,178,Bad,55,15,Yes,Yes
10.05,180,26,1,287,49,Medium,53,12,No,No
16.51,140,106,4,129,37,Medium,36,14,No,No
10.53,136,45,26,293,86,Bad,57,17,No,No
7.58,78,23,25,420,81,Medium,63,13,No,Yes
13.73,95,92,12,483,61,Medium,50,12,Yes,Yes
6.29,130,96,8,458,173,Medium,63,12,No,No
7.46,105,49,18,376,131,Medium,54,12,Yes,Yes
20.19,141,116,12,397,93,Good,27,10,No,Yes
15.03,162,86,24,319,73,Medium,44,10,Yes,Yes
16.42,165,101,19,303,49,Medium,37,13,No,No
15.1,150,103,3,17,36,Bad,43,13,Yes,No
7.99,85,35,10,386,76,Good,25,11,No,Yes
9.76,159,42,7,346,94,Medium,66,11,Yes,Yes
13.17,88,90,20,469,97,Medium,47,11,Yes,Yes
10.26,169,54,28,149,162,Medium,42,16,Yes,No
6.38,128,23,14,502,96,Medium,67,16,No,Yes
3.21,158,48,8,396,168,Bad,29,12,Yes,No
7.63,132,40,14,320,119,Bad,29,14,Yes,Yes
3.79,92,36,3,15,118,Medium,43,11,Yes,No
11.14,80,92,3,283,62,Medium,30,13,Yes,No
12.58,183,50,17,260,30,Medium,39,14,Yes,No
9.74,165,56,23,391,143,Medium,35,16,No,Yes
22.74,162,118,29,88,25,Good,75,17,No,No
9.09,105,69,21,399,135,Medium,54,11,Yes,Yes
10.07,135,70,21,344,149,Bad,44,10,Yes,Yes
19.33,162,101,12,91,45,Good,59,17,No,Yes
14.13,155,77,13,243,70,Medium,28,17,No,No
17.64,142,84,7,120,24,Medium,33,15,Yes,Yes
12.86,153,109,26,118,188,Medium,51,11,Yes,Yes
9.82,88,79,15,40,178,Good,43,11,Yes,Yes
0.0,102,26,14,364,172,Medium,29,12,Yes,No
11.4,180,72,7,269,108,Medium,32,12,Yes,Yes
15.61,88,82,19,138,58,Medium,67,11,Yes,No
10.59,167,104,10,359,134,Medium,54,17,No,Yes
8.81,111,38,13,310,85,Bad,60,12,Yes,Yes
6.57,78,66,18,182,182,Medium,40,17,No,Yes
10.87,93,117,1,246,179,Good,71,10,Yes,No
12.39,78,83,11,393,97,Medium,70,14,Yes,Yes
6.37,93,43,18,125,96,Bad,28,14,Yes,No
13.88,110,118,14,455,76,Medium,28,12,Yes,No
6.57,110,30,27,264,108,Bad,31,11,Yes,Yes
2.08,121,26,25,10,175,Medium,27,10,Yes,No
13.33,179,97,5,283,86,Good,62,10,Yes,No
12.12,117,82,24,423,72,Bad,49,13,No,Yes
12.64,149,63,24,101,67,Medium,60,12,Yes,Yes
4.34,154,37,8,428,165,Medium,28,16,No,Yes
13.88,183,80,18,508,135,Medium,32,13,No,Yes
12.56,160,38,2,509,33,Good,52,12,Yes,Yes
10.28,109,89,26,238,179,Medium,75,13,Yes,Yes
8.85,100,81,11,197,114,Medium,27,15,No,No
9.2,145,46,12,31,58,Good,73,17,Yes,No
9.28,108,35,11,73,94,Medium,32,11,Yes,No
14.33,99,82,8,232,61,Medium,35,12,Yes,Yes
14.69,141,74,4,111,30,Bad,70,14,No,Yes
18.0,178,102,17,155,82,Bad,73,12,Yes,Yes
6.92,108,50,12,48,109,Bad,30,14,Yes,Yes
18.33,156,91,17,217,27,Bad,77,16,Yes,Yes
8.37,160,49,10,395,99,Medium,65,13,No,Yes
13.5,92,95,16,153,35,Medium,47,13,Yes,Yes
3.66,128,26,10,499,181,Medium,77,11,No,Yes
13.98,89,105,11,224,102,Good,68,17,Yes,Yes
12.45,122,76,29,247,50,Bad,26,14,No,Yes
3.38,87,71,2,27,131,Medium,31,17,No,No
14.25,182,107,10,246,104,Medium,53,11,Yes,No
9.13,157,74,12,447,187,Medium,30,10,Yes,Yes
5.94,147,31,17,416,76,Bad,65,14,Yes,Yes
5.03,98,64,7,471,169,Medium,35,12,No,Yes
13.96,171,80,16,124,104,Good,32,14,Yes,Yes
7.74,144,51,10,185,162,Medium,54,13,Yes,Yes
9.03,157,80,2,204,123,Medium,61,16,Yes,Yes
7.44,141,35,25,277,177,Good,43,15,Yes,Yes
5.42,78,69,15,403,151,Medium,72,16,No,No
7.83,127,77,11,508,178,Medium,27,15,No,Yes
11.48,173,86,14,306,75,Bad,66,11,Yes,No
9.97,184,28,19,448,103,Good,54,16,Yes,No
14.24,159,90,20,445,51,Medium,57,10,Yes,No
3.56,159,36,9,57,156,Good,74,17,No,No
10.12,134,73,26,270,126,Bad,77,11,Yes,Yes
4.75,99,53,27,404,127,Bad,50,10,No,No
15.4,92,108,3,507,47,Medium,61,15,Yes,Yes
